summonerName,overallScore,totalGamesPlayed
pe9qgr3qr97qganz,89.97979638,23
BenTheBlaster16,63.74271807,171
The Grand Canyon,43.4401278,142
woshubeibei45768,48.49285523,176
CLG Katsurii,76.01831889,72
GGGhost,39.84849102,59
hamsterfeet69,56.96803606,12
RoseThorn,43.40019529,321
Airflash,71.44536072,200
Scoooped,73.14334194,461
Lil Thien,58.38709144,121
øbv,48.97058313,32
Big Opai,42.00770433,145
FA Superare,53.15211628,89
FG Erry,75.58067016,115
Andrea Legarreta,46.43205195,98
TyChee,76.49311204,387
Mimage,41.06405487,55
Râlo,72.31637005,231
AK Doraemon,46.66461522,128
Fabiantjé,54.84591575,87
adgambit77777,41.17794408,47
TTV BERTSICLE,42.41952925,44
XX77,74.79542919,71
Octosexual,72.92738261,128
zdr,45.15301372,154
Busio3,43.93230964,225
Strange12,61.70823752,359
s0rrymaker123,54.27352321,172
Yassuo,52.33629911,225
700kg grandma,59.92251936,102
LIGMALARRY4444,41.96533534,157
Sighkey,64.38843936,60
tibs2,51.66108493,79
the omero combo,49.77334982,39
Tos8719,59.87000458,187
Romanium 1v9,73.03476954,287
TwTv BTangLoL,47.1735057,65
Alex Blais,51.69222447,171
Mental Therapy,57.31783915,130
Wasay,41.94018518,56
Spurge,49.56087679,393
amdjdjdjdjdjdjdj,53.50077965,83
lvl 60 mw monk,53.94671274,94
ONETRICKPOLICE,65.06664631,149
Quantum,50.24373005,806
Ethiridis,56.58753365,235
TempoSpacer,48.06602981,131
Narúmiya,40.14363571,85
Cyanosis,60.90085998,565
vickixiaobaobei2,47.64348135,26
14 carrot ,76.09571488,123
SoIitified,64.2750267,271
nihonjin,41.35940621,180
HanQAQ,57.40346602,29
PoopSwag69,58.38491136,396
FrankyG,45.2987555,50
rovex1,50.83930507,173
T0WN,52.61002603,313
XQCLLLLL77777777,77.54761114,60
Cylainius,47.26523701,159
1Shady,42.52754452,296
The Humbler,64.01612508,138
Pýnt,57.82629782,197
Froggen,54.12492385,308
VX s9hua9,56.95444598,50
INANI,58.27840131,73
SavorWolf,46.10006186,315
richkery,52.32743495,23
Nim Chimpsky,51.14454056,332
yukino cat,56.02759384,145
FByA,48.16307066,83
Dragonminkim,47.99716047,106
Gamsuni,53.91223601,584
Smoothie,44.59227346,439
Ruler7,73.06083474,29
WorstTopLaner5,53.94661858,12
Zethal,49.711784,207
Gryffinn,44.99118523,516
DÑA,58.60183849,359
TwTv JayJLoL,42.9415153,447
Saico,65.90735848,169
y1zhilugou,63.55104372,8
GPA Four Point O,35.57584266,49
top gap,77.20733356,124
Mizt,40.01268331,45
Wackaroni,35.8513169,67
ChannyBoyy,46.61068273,39
thank u go next,49.15413298,68
Beardôg,45.89056802,26
Tactical,72.61599667,389
Bejjaniii,70.15981748,359
Htzr,72.35881915,107
APSpedKled,68.1279688,22
Rycah,61.36531174,29
Annie Bot,58.26951775,173
suffix,49.00494053,123
WeTriedToRun,47.85534568,71
Meister Chief,54.59743865,52
its Yesu,43.11001373,52
ilostcustody08,53.83420063,242
TreyJ,36.57762108,55
Kasp,69.26718273,79
Tracking Time,38.62716434,44
Qas0,41.91029332,92
Elwuuuuuuu,47.85805986,12
Æsìr,66.94339035,22
Space Dad Shiro,77.56966221,5
Spinning Axes,61.35010007,16
Alexey,68.32496024,24
PerrySenpai,51.52873715,10
jojopyun 16,54.48318956,318
Rimbot,61.27573996,81
Yuki1judai,69.47568789,9
Quetzel Dayos,51.54641245,185
Strompest,62.42612334,384
Kind Jungle,44.90782573,155
Dhokla,71.26166803,555
aphromoo,45.15916783,179
Falcon1,46.29991973,11
newbie    7,43.71668573,225
icepaperhands,44.50941159,63
L maiL,51.31279453,61
Kent Island,45.59050414,67
Jemusi,57.00361185,88
Temper Error,51.78912672,32
Queen IU,63.34208364,8
Boyyyyyyyyyyy,53.51965205,139
SkyTec,44.37390217,184
DEMON SHACO,41.72339232,43
MightyMongoose,61.99468032,160
JY JY,39.79316625,14
Ke Ie,57.14591824,22
tryndplayer123,65.94659647,4
blushee,48.31718681,80
Islamic Salesman,61.31418585,90
Joggerss,54.80136632,130
EleJiggle,54.33883255,107
Brand Z,45.36657998,84
you are in the y,56.94326107,20
Raheen,59.87866301,181
Brayaron,54.51993551,68
PanghuHardCarrY,52.86103841,9
shrimpftw,44.27352656,71
mage rat,64.79907789,63
love draco,59.12814675,89
ItMightBeYaBoy,43.81343065,37
Scholar,51.26665305,90
Ambitieux,47.93904711,88
MightyPug,42.76168711,14
Swordblue,48.72429385,189
living in misery,60.30986205,109
Super Metroid,46.35059951,417
Zìkz,56.09043528,205
Immortal Laner,52.8391299,18
QuyDepTrai1,54.13666914,5
ranji,75.89549873,27
Ømlette,61.49170021,24
Bíg T,41.83756703,376
Shower D0G,55.22004024,162
a1ter,42.92277245,37
Setoo Kaiba,56.13067,80
FPX Tïan,44.7872918,21
Suntail,74.03215933,143
Logan FA,44.12832932,241
Cookiemanman2,38.63966526,46
lqfZIr6mLó,62.32488446,82
l3engee,66.14755218,89
King Alicopter,39.20692891,110
skin is black,61.60231575,64
GOTTASADAE,58.90791198,34
Légacy,47.62942293,10
kanna farm,55.4862386,121
AsTimeFlowsBy,61.22273756,106
CaptBear,70.87798966,219
einrre,47.23225347,26
Reapered fan,53.88908224,44
Kraymos,68.60242847,97
Big Hoss,63.21169678,39
xXwoozerXx,64.96566812,74
PERUVIAN RETADOR,43.08573845,21
adc6666,60.96775427,224
Catch a Body,71.22077633,80
KimSomang,68.20250096,107
LLA no1 Erry ,53.99184558,84
míni,47.02029757,130
Wo Zai Zher,66.59878241,82
LiquidDiego,40.17598241,64
i want die irl,67.53948407,45
skydudu,65.1978928,31
Alakay v2,51.72905786,110
foosmileforme,35.13194809,16
Tyłer Tran,59.54279419,46
anmin9nb,58.02467347,8
xXDawnOfDuskXx,38.50114822,7
Wertuy,54.07138919,12
lightrocket2,46.21198721,67
DurandalNA,22.95360644,4
Unsolved Case,59.37040164,55
distelfinks,58.85623639,137
EnerChi,47.78338439,66
Twtv Srkenji,43.00768324,293
Dinkha,63.86345734,35
EG Jisoo,58.70736446,71
DxClaud1,51.04921796,40
Sweaty Intern,47.24769734,186
15-Mar,67.25099263,220
Jido,49.52370395,287
xihuan juice,50.08607918,166
EG deftly,70.79392129,268
agorinass,52.9266074,227
wqretgdtfdhsdda,61.43359608,95
no invade pls,46.55878743,345
ßazz B,59.16883269,260
Gorica,61.87496434,241
coffın,70.66196966,147
50nO7,63.43031068,192
Way to Fall,44.15925875,149
KGB9 DADDY,50.61319196,44
shukulata,57.64440097,67
Szochs,59.52352046,201
Lemur,56.59133576,122
Niles,73.2678839,228
l10l,65.54991766,288
Admiral Saffi,48.65359697,115
Neq,43.04533768,172
IIlIlIllIlll,55.21759409,43
Xbonexs,61.0420378,87
3in1warrior,62.50270723,168
Keel7,46.32316453,368
Katarina,42.49017304,44
Sonned,62.18973878,147
Swordart77777,46.60040186,326
S2ETOGor,55.85150317,67
Šhy Jungler,51.92005364,226
SweetPete7,65.96459242,99
testing Iimits,45.85643824,58
Kzykendy,66.38561017,351
Aymmy,42.79057387,46
jungler in pain,37.77227236,33
FZXT,58.41127293,75
La Black Luna,48.38504439,91
DouyuTV 9458969,60.37658561,85
duong pro,51.46951807,93
Sleepel,54.05387473,85
dd23438274,49.27009587,150
8-Jul,55.6642506,108
AppleLoverJack82,65.47973843,47
Ioltyler1dotcom,62.88510658,34
Bmfx,81.42009383,132
Yunbee2,61.17674254,84
C9 Darshan,49.24025669,47
yi ge da shi ge,50.4788628,64
Conveying,43.01601469,104
hayoonsong1202,58.3173505,29
Ying bu liao wo,65.29840987,51
lil pipe,47.5857904,46
VacationinEurope,48.02348858,33
Mikaëla Hyakuya,61.732268,36
Tenacity,62.19753468,212
BecomeWhat,52.12647321,53
Haise,34.18187219,76
IMT Destiny,37.99679019,21
humanbenchmark,56.37369111,103
Fated Enigma,60.19847687,224
hhhhhhhhhhhhhhh4,78.07315027,90
First Kyu,59.94853756,250
EG Mist,47.49808866,131
Sohnar,65.64288427,191
C9 Porkyjin,45.83758332,193
Rift The King,45.72315404,29
